"_id","price_start","price_end","house_area","flats_property_i","city_i","area_i","place_i","shi","ting","wei","floor_i","floor_zhu_i","lng","lat","deposit_ya","deposit_pay","s_jsf","s_gycs","s_znms","s_atm","s_dskd","s_zskf","s_fjqj","s_24hba","s_bjwx","s_sqhd","c_chuang","c_yigui","c_shuzhuo","c_kongtiao","c_canzhuo","c_nuanqi","c_tv","c_ranqi","c_wbl","c_dcl","c_rsq","c_xyj","c_bx","c_wifi","c_sf","c_cg","c_yyj","update_time_i"
1,1300,1300,16,2,4,11,74,1,1,1,6,5,116.4666500000,40.1183200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496419200
2,2780,2780,15,1,4,12,75,3,1,1,25,18,116.4507800000,39.8715000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496419200
3,1930,1930,15,1,4,13,76,3,1,1,18,12,116.4178900000,39.8412300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496592000
4,2700,2700,25,2,4,12,77,1,1,1,4,2,116.5677200000,39.9108000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1496592000
5,1800,1880,35,1,4,14,78,1,1,1,0,0,116.7055800000,39.8411700000,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1496592000
6,4050,4050,60,2,4,11,79,1,1,1,20,15,116.3271600000,40.0683000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496419200
7,1600,1600,17,1,4,14,80,5,2,2,27,11,116.6388710000,39.8883220000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495382400
8,5390,5390,88,2,4,15,81,3,1,1,12,6,116.2564400000,40.0555200000,1,3,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1496419200
9,3200,3300,30,1,4,16,82,1,1,1,0,0,116.5111800000,39.7974700000,1,3,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1496592000
10,1850,1850,15,1,4,12,77,3,1,1,18,12,116.6067100000,39.8935200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496592000
